character,ascension,run_seed,floors_cleared,act_reached,outcome,final_hp,deck_size,turns_total,biggest_hit
char_mage,0,1,7,1,defeat,0,12,51,6
char_mage,0,2,7,1,defeat,0,12,50,6
char_mage,0,3,7,1,defeat,0,12,46,6
char_mage,0,4,8,1,defeat,0,12,47,6
char_mage,0,5,4,1,defeat,0,12,33,6
char_mage,0,6,7,1,defeat,0,12,46,6
char_mage,0,7,8,1,defeat,0,12,48,6
char_mage,0,8,7,1,defeat,0,12,42,6
char_mage,0,9,7,1,defeat,0,12,51,6
char_mage,0,10,7,1,defeat,0,12,47,6
char_mage,0,11,8,1,defeat,0,12,50,6
char_mage,0,12,7,1,defeat,0,12,44,6
char_mage,0,13,7,1,defeat,0,12,45,6
char_mage,0,14,8,1,defeat,0,12,55,6
char_mage,0,15,6,1,defeat,0,12,35,6
char_mage,0,16,7,1,defeat,0,12,41,6
char_mage,0,17,7,1,defeat,0,12,52,6
char_mage,0,18,7,1,defeat,0,12,40,6
char_mage,0,19,7,1,defeat,0,12,49,6
char_mage,0,20,7,1,defeat,0,12,38,6
char_mage,0,21,7,1,defeat,0,12,50,6
char_mage,0,22,8,1,defeat,0,12,45,6
char_mage,0,23,7,1,defeat,0,12,36,6
char_mage,0,24,7,1,defeat,0,12,38,6
char_mage,0,25,7,1,defeat,0,12,45,6
char_mage,0,26,7,1,defeat,0,12,39,6
char_mage,0,27,5,1,defeat,0,12,28,6
char_mage,0,28,8,1,defeat,0,12,45,6
char_mage,0,29,8,1,defeat,0,12,55,6
char_mage,0,30,7,1,defeat,0,12,42,6
char_mage,0,31,7,1,defeat,0,12,49,6
char_mage,0,32,7,1,defeat,0,12,42,6
char_mage,0,33,7,1,defeat,0,12,44,6
char_mage,0,34,7,1,defeat,0,12,43,6
char_mage,0,35,7,1,defeat,0,12,36,6
char_mage,0,36,7,1,defeat,0,12,50,6
char_mage,0,37,8,1,defeat,0,12,48,6
char_mage,0,38,8,1,defeat,0,12,48,6
char_mage,0,39,8,1,defeat,0,12,54,6
char_mage,0,40,6,1,defeat,0,12,43,6
char_mage,0,41,8,1,defeat,0,12,50,6
char_mage,0,42,6,1,defeat,0,12,42,6
char_mage,0,43,7,1,defeat,0,12,49,6
char_mage,0,44,6,1,defeat,0,12,36,6
char_mage,0,45,8,1,defeat,0,12,44,6
char_mage,0,46,7,1,defeat,0,12,50,6
char_mage,0,47,7,1,defeat,0,12,47,6
char_mage,0,48,7,1,defeat,0,12,35,6
char_mage,0,49,7,1,defeat,0,12,41,6
char_mage,0,50,5,1,defeat,0,12,35,6
char_mage,0,51,7,1,defeat,0,12,51,6
char_mage,0,52,7,1,defeat,0,12,39,6
char_mage,0,53,8,1,defeat,0,12,55,6
char_mage,0,54,7,1,defeat,0,12,39,6
char_mage,0,55,8,1,defeat,0,12,45,6
char_mage,0,56,7,1,defeat,0,12,52,6
char_mage,0,57,7,1,defeat,0,12,48,6
char_mage,0,58,7,1,defeat,0,12,45,6
char_mage,0,59,7,1,defeat,0,12,33,6
char_mage,0,60,7,1,defeat,0,12,50,6
char_mage,0,61,7,1,defeat,0,12,43,6
char_mage,0,62,7,1,defeat,0,12,39,6
char_mage,0,63,7,1,defeat,0,12,42,6
char_mage,0,64,6,1,defeat,0,12,35,6
char_mage,0,65,7,1,defeat,0,12,43,6
char_mage,0,66,8,1,defeat,0,12,55,6
char_mage,0,67,7,1,defeat,0,12,54,6
char_mage,0,68,8,1,defeat,0,12,53,6
char_mage,0,69,7,1,defeat,0,12,45,6
char_mage,0,70,7,1,defeat,0,12,39,6
char_mage,0,71,7,1,defeat,0,12,39,6
char_mage,0,72,7,1,defeat,0,12,43,6
char_mage,0,73,7,1,defeat,0,12,49,6
char_mage,0,74,7,1,defeat,0,12,44,6
char_mage,0,75,7,1,defeat,0,12,37,6
char_mage,0,76,8,1,defeat,0,12,54,6
char_mage,0,77,5,1,defeat,0,12,32,6
char_mage,0,78,7,1,defeat,0,12,46,6
char_mage,0,79,6,1,defeat,0,12,41,6
char_mage,0,80,5,1,defeat,0,12,35,6
char_mage,0,81,7,1,defeat,0,12,43,6
char_mage,0,82,7,1,defeat,0,12,41,6
char_mage,0,83,8,1,defeat,0,12,57,6
char_mage,0,84,7,1,defeat,0,12,49,6
char_mage,0,85,7,1,defeat,0,12,42,6
char_mage,0,86,7,1,defeat,0,12,40,6
char_mage,0,87,8,1,defeat,0,12,48,6
char_mage,0,88,8,1,defeat,0,12,56,6
char_mage,0,89,7,1,defeat,0,12,45,6
char_mage,0,90,4,1,defeat,0,12,33,6
char_mage,0,91,8,1,defeat,0,12,48,6
char_mage,0,92,6,1,defeat,0,12,38,6
char_mage,0,93,7,1,defeat,0,12,42,6
char_mage,0,94,8,1,defeat,0,12,52,6
char_mage,0,95,7,1,defeat,0,12,45,6
char_mage,0,96,7,1,defeat,0,12,44,6
char_mage,0,97,7,1,defeat,0,12,39,6
char_mage,0,98,6,1,defeat,0,12,37,6
char_mage,0,99,6,1,defeat,0,12,38,6
char_mage,0,100,7,1,defeat,0,12,44,6
